feature,mean_abs_shap
pm25_mean_24h,11.632659995956335
temperature_mean_24h,9.630597086503496
month_cos,6.61995575579419
month_sin,5.797883451167504
temperature_2m,4.359348714161922
pm10,3.859166980618861
ozone,3.6937098230025667
humidity_mean_24h,3.5543474290886574
wind_dir_sin,3.4604037876092604
aqi_mean_72h,3.282119867971083
pm2_5,2.9991980141681167
aqi_lag_72h,2.6771420211193315
pm25_change_24h,2.6082965455350493
dow_sin,2.5183518747247797
cloud_cover,2.4040904351811303
carbon_monoxide,2.1246633150893324
aqi_std_72h,2.0958700569449737
nitrogen_dioxide,2.093042058391216
sulphur_dioxide,2.061771500516112
aqi_mean_24h,1.8181523624918037
wind_dir_cos,1.6538686886263565
is_weekend,1.5135737066348307
surface_pressure,1.278925974547048
wind_speed_10m,1.1823729426206842
relative_humidity_2m,1.1620683958047187
pm25_lag_24h,1.1373726719438835
dust,1.0809640501503701
hour_cos,1.0589177565041117
us_aqi,0.9459935741647315
aqi_lag_12h,0.9430235681909341
wind_mean_24h,0.9033490634220682
pm25_lag_6h,0.8698347635774354
aqi_lag_6h,0.8609017495399505
hour_sin,0.7201545233165058
aqi_change_24h,0.7076021051112414
dow_cos,0.6788676197259562
aqi_lag_24h,0.4949652489169726
aqi_lag_48h,0.44654487021891165
aqi_lag_3h,0.2617723124699827
aqi_mean_3h,0.24380515620808685
aqi_mean_6h,0.20510182912143474
aqi_std_24h,0.18646242753420578
wind_direction_10m,0.15782392194441325
aqi_change_6h,0.11043781617085881
aqi_mean_12h,0.059463807153101705
precipitation,0.027498955427712312
